Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,League_Name,Season_Id
2020-09-12,Fulham,Arsenal,0,3,A,6.0,4.33,1.53,Premier League,2021
2020-09-12,Crystal Palace,Southampton,1,0,H,3.1,3.25,2.37,Premier League,2021
2020-09-12,Liverpool,Leeds,4,3,H,1.28,6.0,9.5,Premier League,2021
2020-09-12,West Ham,Newcastle,0,2,A,2.15,3.4,3.4,Premier League,2021
2020-09-13,West Brom,Leicester,0,3,A,3.8,3.6,1.95,Premier League,2021
2020-09-13,Tottenham,Everton,0,1,A,1.83,3.6,4.33,Premier League,2021
2020-09-14,Brighton,Chelsea,1,3,A,5.0,4.33,1.61,Premier League,2021
2020-09-14,Sheffield United,Wolves,0,2,A,3.25,3.1,2.37,Premier League,2021
2020-09-19,Everton,West Brom,5,2,H,1.5,4.2,6.5,Premier League,2021
2020-09-19,Leeds,Fulham,4,3,H,1.61,3.9,5.75,Premier League,2021
2020-09-19,Man United,Crystal Palace,1,3,A,1.3,5.5,9.5,Premier League,2021
2020-09-19,Arsenal,West Ham,2,1,H,1.53,4.5,5.5,Premier League,2021
2020-09-20,Southampton,Tottenham,2,5,A,3.0,3.3,2.37,Premier League,2021
2020-09-20,Newcastle,Brighton,0,3,A,2.6,3.1,2.87,Premier League,2021
2020-09-20,Chelsea,Liverpool,0,2,A,3.1,3.6,2.2,Premier League,2021
2020-09-20,Leicester,Burnley,4,2,H,1.61,4.0,5.5,Premier League,2021
2020-09-21,Aston Villa,Sheffield United,1,0,H,2.7,3.1,2.75,Premier League,2021
2020-09-21,Wolves,Man City,1,3,A,6.5,4.33,1.5,Premier League,2021
2020-09-26,Brighton,Man United,2,3,A,4.75,3.75,1.72,Premier League,2021
2020-09-26,Crystal Palace,Everton,1,2,A,3.75,3.25,2.1,Premier League,2021
2020-09-26,West Brom,Chelsea,3,3,D,9.0,4.75,1.36,Premier League,2021
2020-09-26,Burnley,Southampton,0,1,A,3.2,3.3,2.3,Premier League,2021
2020-09-27,Sheffield United,Leeds,0,1,A,2.7,3.3,2.62,Premier League,2021
2020-09-27,Tottenham,Newcastle,1,1,D,1.45,4.5,7.0,Premier League,2021
2020-09-27,Man City,Leicester,2,5,A,1.28,6.0,9.5,Premier League,2021
2020-09-27,West Ham,Wolves,4,0,H,3.6,3.5,2.05,Premier League,2021
2020-09-28,Fulham,Aston Villa,0,3,A,2.9,3.25,2.5,Premier League,2021
2020-09-28,Liverpool,Arsenal,3,1,H,1.45,4.75,6.5,Premier League,2021
2020-10-03,Chelsea,Crystal Palace,4,0,H,1.4,4.75,8.0,Premier League,2021
2020-10-03,Everton,Brighton,4,2,H,1.72,3.75,4.8,Premier League,2021
2020-10-03,Leeds,Man City,1,1,D,7.5,5.25,1.36,Premier League,2021
2020-10-03,Newcastle,Burnley,3,1,H,2.4,3.2,3.1,Premier League,2021
2020-10-04,Leicester,West Ham,0,3,A,1.61,4.2,5.25,Premier League,2021
2020-10-04,Southampton,West Brom,2,0,H,1.72,3.8,4.75,Premier League,2021
2020-10-04,Arsenal,Sheffield United,2,1,H,1.57,4.0,6.0,Premier League,2021
2020-10-04,Wolves,Fulham,1,0,H,1.5,4.0,7.5,Premier League,2021
2020-10-04,Man United,Tottenham,1,6,A,1.85,3.8,4.0,Premier League,2021
2020-10-04,Aston Villa,Liverpool,7,2,H,10.0,5.5,1.3,Premier League,2021
2020-10-17,Everton,Liverpool,2,2,D,3.75,4.2,1.83,Premier League,2021
2020-10-17,Chelsea,Southampton,3,3,D,1.45,4.75,6.5,Premier League,2021
2020-10-17,Man City,Arsenal,1,0,H,1.44,5.0,6.5,Premier League,2021
2020-10-17,Newcastle,Man United,1,4,A,4.75,4.0,1.66,Premier League,2021
2020-10-18,Sheffield United,Fulham,1,1,D,2.1,3.3,3.7,Premier League,2021
2020-10-18,Crystal Palace,Brighton,1,1,D,2.62,3.3,2.7,Premier League,2021
2020-10-18,Tottenham,West Ham,3,3,D,1.57,4.33,5.5,Premier League,2021
2020-10-18,Leicester,Aston Villa,0,1,A,1.83,3.8,4.1,Premier League,2021
2020-10-19,West Brom,Burnley,0,0,D,2.45,3.3,2.9,Premier League,2021
2020-10-19,Leeds,Wolves,0,1,A,2.5,3.3,2.87,Premier League,2021
2020-10-23,Aston Villa,Leeds,0,3,A,2.05,3.75,3.3,Premier League,2021
2020-10-24,West Ham,Man City,1,1,D,8.0,5.25,1.36,Premier League,2021
2020-10-24,Fulham,Crystal Palace,1,2,A,2.75,3.1,2.7,Premier League,2021
2020-10-24,Man United,Chelsea,0,0,D,2.37,3.6,2.8,Premier League,2021
2020-10-24,Liverpool,Sheffield United,2,1,H,1.22,6.5,12.0,Premier League,2021
2020-10-25,Southampton,Everton,2,0,H,2.75,3.4,2.55,Premier League,2021
2020-10-25,Wolves,Newcastle,1,1,D,1.75,3.5,5.25,Premier League,2021
2020-10-25,Arsenal,Leicester,0,1,A,1.9,3.75,3.8,Premier League,2021
2020-10-26,Brighton,West Brom,1,1,D,1.7,4.0,4.75,Premier League,2021
2020-10-26,Burnley,Tottenham,0,1,A,5.75,4.0,1.6,Premier League,2021
2020-10-30,Wolves,Crystal Palace,2,0,H,2.0,3.2,4.33,Premier League,2021
2020-10-31,Sheffield United,Man City,0,1,A,9.5,6.0,1.28,Premier League,2021
2020-10-31,Burnley,Chelsea,0,3,A,6.0,4.5,1.5,Premier League,2021
2020-10-31,Liverpool,West Ham,2,1,H,1.36,5.25,7.5,Premier League,2021
2020-11-01,Aston Villa,Southampton,3,4,A,2.45,3.5,2.8,Premier League,2021
2020-11-01,Newcastle,Everton,2,1,H,3.7,3.4,2.05,Premier League,2021
2020-11-01,Man United,Arsenal,0,1,A,2.0,3.6,3.6,Premier League,2021
2020-11-01,Tottenham,Brighton,2,1,H,1.61,4.0,5.5,Premier League,2021
2020-11-02,Fulham,West Brom,2,0,H,2.4,3.3,3.0,Premier League,2021
2020-11-02,Leeds,Leicester,1,4,A,2.5,3.6,2.62,Premier League,2021
